CMDLINE D:\Environments\venv\Scripts\python.exe model_trainer.py
MEM 3.347656 1708270785.8271
MEM 3.347656 1708270785.9272
MEM 3.347656 1708270786.0278
MEM 3.347656 1708270786.1279
MEM 3.347656 1708270786.2279
MEM 3.347656 1708270786.3280
MEM 3.347656 1708270786.4280
MEM 3.347656 1708270786.5281
MEM 3.347656 1708270786.6282
MEM 3.347656 1708270786.7286
MEM 3.347656 1708270786.8288
MEM 3.347656 1708270786.9292
MEM 3.347656 1708270787.0292
MEM 3.347656 1708270787.1294
MEM 3.347656 1708270787.2294
MEM 3.347656 1708270787.3318
MEM 3.347656 1708270787.4318
MEM 3.347656 1708270787.5318
MEM 3.347656 1708270787.6321
MEM 3.347656 1708270787.7325
MEM 3.347656 1708270787.8424
MEM 3.347656 1708270787.9520
MEM 3.347656 1708270788.0520
MEM 3.347656 1708270788.1520
MEM 3.347656 1708270788.2520
MEM 3.347656 1708270788.3527
MEM 3.347656 1708270788.4627
MEM 3.347656 1708270788.5627
MEM 3.347656 1708270788.6627
MEM 3.347656 1708270788.7627
MEM 3.347656 1708270788.8628
MEM 3.347656 1708270788.9628
MEM 3.347656 1708270789.0628
MEM 3.347656 1708270789.1628
MEM 3.347656 1708270789.2628
MEM 3.347656 1708270789.3681
MEM 3.347656 1708270789.4791
MEM 3.347656 1708270789.5912
MEM 3.347656 1708270789.7027
MEM 3.347656 1708270789.8142
MEM 3.347656 1708270789.9262
MEM 3.347656 1708270790.0383
MEM 3.347656 1708270790.1503
MEM 3.347656 1708270790.2619
MEM 3.347656 1708270790.3734
MEM 3.347656 1708270790.4844
MEM 3.347656 1708270790.5959
MEM 3.347656 1708270790.7074
MEM 3.347656 1708270790.8195
MEM 3.347656 1708270790.9310
MEM 3.347656 1708270791.0415
MEM 3.347656 1708270791.1530
MEM 3.347656 1708270791.2645
MEM 3.347656 1708270791.3718
MEM 3.347656 1708270791.4718
MEM 3.347656 1708270791.5718
MEM 3.347656 1708270791.6718
MEM 3.347656 1708270791.7719
MEM 3.347656 1708270791.8740
MEM 3.347656 1708270791.9744
MEM 3.347656 1708270792.0746
MEM 3.347656 1708270792.1747
MEM 3.347656 1708270792.2747
MEM 3.347656 1708270792.3752
MEM 3.347656 1708270792.4757
MEM 3.347656 1708270792.5757
MEM 3.347656 1708270792.6762
MEM 3.347656 1708270792.7763
MEM 3.347656 1708270792.8763
MEM 3.347656 1708270792.9764
MEM 3.347656 1708270793.0765
MEM 3.347656 1708270793.1765
MEM 3.347656 1708270793.2765
MEM 3.347656 1708270793.3873
MEM 3.347656 1708270793.4978
MEM 3.347656 1708270793.6095
MEM 3.347656 1708270793.7210
MEM 3.347656 1708270793.8315
MEM 3.347656 1708270793.9431
MEM 3.347656 1708270794.0546
MEM 3.347656 1708270794.1651
MEM 3.347656 1708270794.2759
MEM 3.347656 1708270794.3869
MEM 3.347656 1708270794.4968
MEM 3.347656 1708270794.6078
MEM 3.347656 1708270794.7186
MEM 3.347656 1708270794.8301
MEM 3.347656 1708270794.9406
MEM 3.347656 1708270795.0518
MEM 3.347656 1708270795.1635
MEM 3.347656 1708270795.2784
MEM 3.347656 1708270795.3815
MEM 3.347656 1708270795.4913
MEM 3.347656 1708270795.6011
MEM 3.347656 1708270795.7108
MEM 3.347656 1708270795.8206
MEM 3.347656 1708270795.9304
MEM 3.347656 1708270796.0402
MEM 3.347656 1708270796.1499
